entry	PH	PHC	PHR	EH	EHC	EHR	DT	DTC	DTR	YP	YPC	YPR	Yrad	YCrad	YRrad
34_72	201.5187	206.3938	196.6436	110.9396	117.0794	104.7998	77.7133	70.0355	85.3911	57.1277	55.8575	58.3979	7.5692	7.5018	7.6366
34_75	150.0805	150.3079	149.8531	73.5665	76.2536	70.8794	78.50008	67.04647	89.95369	39.4213	37.4728	41.3698	6.2437	6.1021	6.3853
34_76	136.5187	141.3938	131.6436	67.5918	65.3547	69.8289	72.953	59.5678	86.3382	40.6655	35.0922	46.2388	6.3114	5.879	6.7438
35_13	194.9192	200.6625	189.1759	97.7111	105.8319	89.5903	78.7208	69.1504	88.2912	39.7895	40.782	38.797	6.274	6.373	6.175
35_15	127.4595	131.8239	123.0951	73.8809	82.5111	65.2507	70.4122	56.5253	84.2991	40.9771	40.2803	41.6739	6.3512	6.3096	6.3928
35_22	173.3305	178.3077	168.3533	77.1388	82.5428	71.7348	77.6564	67.94	87.3728	31.8699	36.5153	27.2245	5.5957	6.0588	5.1326
35_25	176.3788	183.5011	169.2565	101.0759	105.2913	96.8605	79.4687	67.0733	91.8641	76.7339	75.2495	78.2183	8.7219	8.6308	8.813
35_26	167.7901	174.1463	161.4339	74.6735	76.68144	72.66556	72.3708	59.91	84.8316	28.1806	33.3901	22.9711	5.23092	5.79412	4.66772
35_31	109.8225	111.2757	108.3693	60.9126	56.6379	65.1873	78.47561	70.07001	86.88121	17.6298	16.9755	18.2841	4.1422	4.1629	4.1215
35_33	178.3145	176.2436	180.3854	85.6547	84.6062	86.7032	79.904	69.6359	90.1721	34.1258	42.6208	25.6308	5.6743	6.4484	4.9002
35_35	146.2847	153.4581	139.1113	72.4449	76.4339	68.4559	74.8736	62.229	87.5182	32.4595	35.5748	29.3442	5.6652	6.0131	5.3173
35_41	161.1129	156.4373	165.7885	95.7616	94.0339	97.4893	81.1694	70.1561	92.1827	46.9357	60.6476	33.2238	6.663	7.7659	5.5601
35_43	159.2014	164.7915	153.6113	71.4091	84.6239	58.1943	78.1718	65.6947	90.6489	32.9719	43.5342	22.4096	5.4698	6.445	4.4946
35_49	192.024	196.0819	187.9661	94.969	99.8636	90.0744	80.0845	70.6273	89.5417	26.9818	28.0337	25.9299	5.0784	5.22156	4.93524
35_5	153.4353	156.7271	150.1435	75.1829	78.7191	71.6467	68.7134	55.8768	81.55	53.3846	62.0524	44.7168	7.2356	7.8712	6.6
35_53	188.1449	197.5655	178.7243	103.8809	112.5111	95.2507	76.6567	68.3342	84.9792	23.3561	21.7206	24.9916	4.8014	4.6954	4.9074
35_7	164.6451	164.5661	164.7241	76.1893	71.7448	80.6338	76.4421	66.4768	86.4074	36.6803	48.1943	25.1663	5.856	6.9247	4.7873
35_8	143.0645	136.2439	149.8851	74.6735	76.68144	72.66556	75.982	63.3231	88.6409	49.1821	35.9811	62.3831	6.8937	5.9486	7.8388
4_1	168.4514	178.7913	158.1115	68.9038	84.2694	53.5382	74.903	63.7536	86.0524	13.1127	17.9277	8.2977	3.3771	4.2129	2.5413
4_11	167.911	179.6299	156.1921	95.7363	98.9328	92.5398	82.3221	72.3593	92.2849	26.2535	25.0017	27.5053	5.0681	4.9907	5.1455
4_14	121.1773	125.6949	116.6597	55.2081	53.82	56.5962	76.2398	65.3241	87.1555	56.9691	52.3962	61.542	7.5274	7.2277	7.8271
4_22	145.3063	149.211	141.4016	78.5413	86.1527	70.9299	77.6979	67.1651	88.2307	48.5547	49.5323	47.5771	6.9492	7.05488	6.84352
4_32	159.5804	169.3074	149.8534	84.1135	94.4417	73.7853	77.1402	66.8587	87.4217	39.7672	54.0605	25.4739	6.0073	7.2342	4.7804
4_33	189.8064	184.2115	195.4013	89.3967	91.5744	87.219	80.9554	68.3478	93.563	31.2074	23.4728	38.942	5.4434	4.7024	6.1844
4_35	170.9352	183.7266	158.1438	71.7616	70.0339	73.4893	75.6482	66.6435	84.6529	17.4272	22.0064	12.848	4.0452	4.7252	3.3652
4_36	156.6666	153.3189	160.0143	72.1118	67.1013	77.1223	71.9031	58.611	85.1952	19.1756	21.4268	16.9244	4.3013	4.6544	3.9482
4_50	128.8708	132.4691	125.2725	72.0571	73.216	70.8982	78.6425	68.0111	89.2739	22.0735	33.2925	10.8545	4.2657	5.6903	2.8411
4_55	118.1289	120.5014	115.7564	83.1641	83.6438	82.6844	80.9513	70.5886	91.314	12.6594	16.7864	8.5324	3.4124	4.1612	2.6636
